Item Name,Global Category,Major Category,Minor Category,Item Quantity,Item/Cover %,Average Item Price,Gross Sales,Net Sales
kitty paws sour ipa 10oz,BEVERAGE,ALCOHOL,10OZ DRAUGHT,15.00,1.02,7.00,105.00,105.00
hangover pretzels: sweet heet,FOOD,FOOD,FOOD,15.00,1.02,8.00,120.00,120.00
identity cri?i?: coconut 16oz,BEVERAGE,ALCOHOL,16OZ DRAUGHT,147.00,10.03,8.00,1176.00,1172.00
low orbit ion canon 10oz,BEVERAGE,ALCOHOL,10OZ DRAUGHT,141.00,9.62,6.52,919.00,907.90
it all happened so fast 10oz,BEVERAGE,ALCOHOL,10OZ DRAUGHT,14.00,0.96,6.00,84.00,84.00
16oz new pint glass (no bevel),RETAIL,RETAIL,MERCHANDISE,14.00,0.96,8.00,112.00,107.00
crispy boi 10oz,BEVERAGE,ALCOHOL,10OZ DRAUGHT,13.00,0.89,7.00,91.00,91.00
low orbit ion canon 4oz,BEVERAGE,ALCOHOL,4OZ DRAUGHT,13.00,0.89,4.00,52.00,52.00
hangover pretzels: zesty lemon pepper,FOOD,FOOD,FOOD,13.00,0.89,8.00,104.00,104.00
barrel-aged stouty mcstoutface 10oz,BEVERAGE,ALCOHOL,10OZ DRAUGHT,129.00,8.81,8.00,1032.00,1026.00
blood orange blonde ale 10oz,BEVERAGE,ALCOHOL,10OZ DRAUGHT,123.00,8.40,6.00,738.00,729.00
festhalle original kolsch 10oz,BEVERAGE,ALCOHOL,10OZ DRAUGHT,11.00,0.75,7.00,77.00,77.00
blood orange blond 4oz,BEVERAGE,ALCOHOL,4OZ DRAUGHT,11.00,0.75,4.00,44.00,44.00
private event deposit,RETAIL,RETAIL,PRIVATE EVENTS,11.00,0.75,159.09,1750.00,1750.00
blood orange w/ hibiscus,BEVERAGE,ALCOHOL,10OZ DRAUGHT,10.00,0.68,6.00,60.00,60.00
chocolate vanilla porter 64oz,BEVERAGE,ALCOHOL,64OZ GROWLER FILLS,10.00,0.68,18.00,180.00,174.00
blood orange blond 64oz,BEVERAGE,ALCOHOL,64OZ GROWLER FILLS,10.00,0.68,17.00,170.00,164.00
festhalle original kolsch,BEVERAGE,ALCOHOL,16OZ DRAUGHT,1.00,0.07,7.00,7.00,7.00
wrought gold 64oz,BEVERAGE,ALCOHOL,64OZ GROWLER FILLS,1.00,0.07,17.00,17.00,17.00
two ton branded glass growler 64oz empty,BEVERAGE,ALCOHOL,64OZ GROWLER FILLS,1.00,0.07,15.00,15.00,15.00
red engine #63 64oz,BEVERAGE,ALCOHOL,64OZ GROWLER FILLS,1.00,0.07,18.00,18.00,18.00
kitty paws 64oz,BEVERAGE,ALCOHOL,64OZ GROWLER FILLS,1.00,0.07,18.00,18.00,18.00
it all happened so fast 64oz,BEVERAGE,ALCOHOL,64OZ GROWLER FILLS,1.00,0.07,17.00,17.00,16.00
